1137.48999,1159.880005,1135.109985,1155.810059,1618000
1159.849976,1171.626953,1158.75,1169.969971,1333100
1177.329956,1179.859985,1161.050049,1164.23999,1416600
1172.530029,1175.939941,1162.76001,1170.369995,1480500
1175.079956,1175.839966,1158.109985,1175.839966,2018800
1176.47998,1186.890015,1171.97998,1175.579956,1378900
1167.829956,1176.52002,1163.52002,1163.689941,1556300
1170.569946,1173,1159.130005,1169.939941,1538700
1162.609985,1174,1157.52002,1167.699951,2412100
1122,1123.069946,1107.277954,1111.900024,4857900
1090.599976,1110,1052.030029,1055.800049,3798300
1027.180054,1081.709961,1023.137024,1080.599976,3448000
1081.540039,1081.780029,1048.26001,1048.579956,2369200
1055.410034,1058.619995,1000.659973,1001.52002,2859100
1017.25,1043.969971,992.559998,1037.780029,3505900
1048,1061.5,1040.927979,1051.939941,2057700
1045,1058.369995,1044.087036,1052.099976,1265100
1048.949951,1071.719971,1046.75,1069.699951,1555800
1079.069946,1091.479004,1064.339966,1089.52002,1843400
1088.410034,1104.670044,1088.312988,1094.800049,1679500
